2025-01-08 10:37:17,140: Actions: [1, 3, 4, 1, 2, 4, 4, 2, 2, 4, 4, 2, 4, 3, 1, 2]
2025-01-08 10:37:17,140: IDs: [np.int64(11), np.int64(17), np.int64(31), np.int64(58), np.int64(33), np.int64(65), np.int64(17), np.int64(98), np.int64(47), np.int64(28), np.int64(74), np.int64(56), np.int64(29), np.int64(94), np.int64(41), np.int64(54)]
2025-01-08 10:37:17,141: Objs: [29, 7, 25, 38, 41, 14, 30, 29, 11, 29, 38, 11, 15, 10, 40, 36]
2025-01-08 10:37:17,141: Actions: [2, 0, 1, 2, 4, 0, 2, 4, 4, 2, 0, 3, 3, 2, 3, 3]
2025-01-08 10:37:17,141: IDs: [np.int64(12), np.int64(17), np.int64(21), np.int64(59), np.int64(32), np.int64(65), np.int64(18), np.int64(97), np.int64(46), np.int64(29), np.int64(74), np.int64(66), np.int64(37), np.int64(95), np.int64(53), np.int64(64)]
2025-01-08 10:37:17,141: Objs: [6, 7, 37, 27, 11, 14, 35, 41, 28, 20, 38, 33, 29, 22, 34, 27]
2025-01-08 10:37:17,142: Actions: [2, 2, 1, 3, 2, 2, 2, 4, 2, 1, 2, 2, 1, 4, 3, 2]
2025-01-08 10:37:17,142: IDs: [np.int64(13), np.int64(18), np.int64(11), np.int64(71), np.int64(33), np.int64(66), np.int64(19), np.int64(96), np.int64(47), np.int64(19), np.int64(75), np.int64(67), np.int64(29), np.int64(94), np.int64(65), np.int64(65)]
2025-01-08 10:37:17,142: Objs: [0, 1, 10, 4, 41, 41, 33, 17, 11, 6, 34, 37, 15, 10, 7, 11]
2025-01-08 10:37:17,142: Actions: [3, 1, 4, 0, 3, 4, 2, 2, 4, 4, 2, 1, 1, 4, 4, 1]
2025-01-08 10:37:17,143: IDs: [np.int64(23), np.int64(10), np.int64(10), np.int64(71), np.int64(41), np.int64(65), np.int64(20), np.int64(97), np.int64(46), np.int64(18), np.int64(76), np.int64(57), np.int64(21), np.int64(93), np.int64(64), np.int64(55)]
2025-01-08 10:37:17,143: Objs: [7, 38, 14, 4, 42, 14, 35, 41, 28, 5, 12, 11, 33, 38, 32, 17]
2025-01-08 10:37:17,143: Actions: [2, 3, 3, 0, 3, 1, 4, 1, 0, 2, 4, 0, 3, 2, 0, 2]
2025-01-08 10:37:17,144: IDs: [np.int64(24), np.int64(18), np.int64(20), np.int64(71), np.int64(49), np.int64(55), np.int64(19), np.int64(87), np.int64(46), np.int64(19), np.int64(75), np.int64(57), np.int64(29), np.int64(94), np.int64(64), np.int64(56)]
2025-01-08 10:37:17,144: Objs: [21, 1, 39, 4, 32, 12, 33, 21, 28, 6, 34, 11, 15, 10, 32, 40]
2025-01-08 10:37:17,144: Actions: [2, 4, 3, 3, 2, 1, 2, 4, 3, 1, 2, 3, 3, 2, 2, 2]
2025-01-08 10:37:17,145: IDs: [np.int64(25), np.int64(17), np.int64(30), np.int64(83), np.int64(50), np.int64(45), np.int64(20), np.int64(86), np.int64(54), np.int64(9), np.int64(76), np.int64(67), np.int64(37), np.int64(95), np.int64(65), np.int64(57)]
2025-01-08 10:37:17,145: Objs: [37, 7, 10, 18, 3, 40, 35, 22, 22, 4, 12, 37, 29, 22, 7, 23]
2025-01-08 10:37:17,145: Actions: [3, 3, 1, 1, 1, 1, 4, 4, 1, 3, 1, 3, 3, 2, 4, 3]
2025-01-08 10:37:17,146: IDs: [np.int64(35), np.int64(25), np.int64(20), np.int64(71), np.int64(42), np.int64(35), np.int64(19), np.int64(85), np.int64(46), np.int64(19), np.int64(64), np.int64(77), np.int64(45), np.int64(96), np.int64(64), np.int64(67)]
2025-01-08 10:37:17,146: Objs: [20, 34, 39, 4, 37, 16, 33, 24, 28, 6, 13, 30, 35, 33, 32, 20]
2025-01-08 10:37:17,146: Actions: [2, 1, 1, 0, 1, 2, 1, 1, 0, 4, 3, 4, 1, 1, 4, 1]
2025-01-08 10:37:17,146: IDs: [np.int64(36), np.int64(17), np.int64(10), np.int64(71), np.int64(34), np.int64(36), np.int64(7), np.int64(75), np.int64(46), np.int64(18), np.int64(76), np.int64(76), np.int64(37), np.int64(86), np.int64(63), np.int64(57)]
2025-01-08 10:37:17,146: Objs: [33, 7, 14, 4, 41, 16, 14, 40, 28, 5, 12, 13, 29, 20, 32, 23]
2025-01-08 10:37:17,147: Actions: [0, 1, 2, 3, 1, 4, 4, 3, 4, 4, 0, 2, 0, 2, 1, 3]
2025-01-08 10:37:17,147: IDs: [np.int64(36), np.int64(9), np.int64(11), np.int64(83), np.int64(26), np.int64(35), np.int64(6), np.int64(85), np.int64(45), np.int64(17), np.int64(76), np.int64(77), np.int64(37), np.int64(87), np.int64(51), np.int64(67)]
2025-01-08 10:37:17,147: Objs: [33, 36, 10, 18, 14, 16, 28, 24, 8, 19, 12, 30, 29, 44, 42, 20]
2025-01-08 10:37:17,147: Actions: [3, 3, 4, 3, 1, 3, 3, 4, 3, 0, 0, 2, 3, 1, 3, 4]
2025-01-08 10:37:17,148: IDs: [np.int64(46), np.int64(17), np.int64(10), np.int64(95), np.int64(18), np.int64(45), np.int64(18), np.int64(84), np.int64(53), np.int64(17), np.int64(76), np.int64(78), np.int64(45), np.int64(77), np.int64(63), np.int64(66)]
2025-01-08 10:37:17,148: Objs: [27, 7, 14, 9, 1, 40, 35, 30, 33, 19, 12, 0, 35, 8, 32, 7]
2025-01-08 10:37:17,148: Actions: [1, 3, 2, 0, 2, 3, 2, 4, 2, 0, 3, 4, 3, 2, 0, 2]
2025-01-08 10:37:17,149: IDs: [np.int64(36), np.int64(25), np.int64(11), np.int64(95), np.int64(19), np.int64(55), np.int64(19), np.int64(83), np.int64(54), np.int64(17), np.int64(88), np.int64(77), np.int64(53), np.int64(78), np.int64(63), np.int64(67)]
2025-01-08 10:37:17,149: Objs: [33, 34, 10, 9, 4, 12, 33, 13, 22, 19, 12, 30, 27, 6, 32, 20]
2025-01-08 10:37:17,149: Actions: [1, 1, 4, 4, 3, 3, 4, 0, 2, 0, 3, 0, 2, 1, 0, 3]
2025-01-08 10:37:17,150: IDs: [np.int64(26), np.int64(17), np.int64(10), np.int64(94), np.int64(27), np.int64(65), np.int64(18), np.int64(83), np.int64(55), np.int64(17), np.int64(100), np.int64(77), np.int64(54), np.int64(68), np.int64(63), np.int64(77)]
2025-01-08 10:37:17,150: Objs: [10, 7, 14, 14, 43, 14, 35, 13, 8, 19, 41, 30, 14, 36, 32, 13]
